raw_name,normalised_name,wb_node,dataset,country,n,lat_centroid,lon_centroid,wb_group,wb_5km,wb_raw,contrib_group,override
Riaño,riano,riano,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,2,42.96111111111115,-5.04722222222222,wb2:riano,wb5:riano,raw:Riaño,cg:Ruiz-VerduA_ES_UVEG-CEDEX,name normalised
Ricobayo,ricobayo,ricobayo,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,4,41.61347222222223,-5.935069444444445,wb2:ricobayo,wb5:ricobayo,raw:Ricobayo,cg:Ruiz-VerduA_ES_UVEG-CEDEX,
Roatan Island Inshore,roatan island inshore,roatan island inshore,SchallesJ_US_Creighton,Honduras,5,16.333,-86.54745,wb2:roatan island inshore,wb5:roatan island inshore,raw:Roatan Island Inshore,cg:BindingC_CA_ECCC,
Roatan Island Offshore,roatan island offshore,roatan island offshore,SchallesJ_US_Creighton,Honduras,10,16.3171,-86.5774,wb2:roatan island inshore,wb5:roatan island inshore,raw:Roatan Island Offshore,cg:BindingC_CA_ECCC,
Rock Lake,rock lake,rock lake,GrebSR_US_WDNR,United States of America (the),12,43.080330833333335,-88.93021583333332,wb2:rock lake,wb5:rock lake,raw:Rock Lake,cg:BindingC_CA_ECCC,
Roodeplaat,roodeplaat,roodeplaat,KravitzJ_ZA_UCT,South Africa,17,-25.626854074117645,28.373020865882353,wb2:roodeplaat,wb5:roodeplaat,raw:Roodeplaat,cg:KravitzJ_ZA_UCT,
Rosarito,rosarito,rosarito,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,54,40.10162037037038,-5.298024691358023,wb2:rosarito,wb5:rosarito,raw:Rosarito,cg:Ruiz-VerduA_ES_UVEG-CEDEX,
Rotognaro,rotognaro,rotognaro,LehmannMK_NZ_UOW_NZ_LK,New Zealand,1,-37.485,175.11756,wb2:rotognaro,wb5:lake whangape,raw:Rotognaro,cg:LehmannMK_NZ_UOW_NZ_LK,
Rotognaroiti,rotognaroiti,rotognaroiti,LehmannMK_NZ_UOW_NZ_LK,New Zealand,1,-37.477005,175.107934,wb2:rotognaro,wb5:lake whangape,raw:Rotognaroiti,cg:LehmannMK_NZ_UOW_NZ_LK,
Rotoroa,rotoroa,rotoroa,LehmannMK_NZ_UOW_NZ_LK,New Zealand,3,-41.854549999999996,172.64116666666666,wb2:rotoroa,wb5:rotoroa,raw:Rotoroa,cg:LehmannMK_NZ_UOW_NZ_LK,
Round Lake,round lake,round lake,GrebSR_US_WDNR,United States of America (the),3,46.00726,-91.32616,wb2:round lake,wb5:round lake,raw:Round Lake,cg:BindingC_CA_ECCC,
Sakatah,sakatah,sakatah,OlmansonLG_US_UMN,United States of America (the),1,44.22694,-93.51833,wb2:sakatah,wb5:sakatah,raw:Sakatah,cg:OlmansonLG_US_UMN,
"San Antonio Bay, TX","san antonio bay, tx","san antonio bay, tx",SchallesJ_US_Creighton,United States of America (the),1,28.2061944444444,-96.8225,"wb2:san antonio bay, tx","wb5:san antonio bay, tx","raw:San Antonio Bay, TX",cg:BindingC_CA_ECCC,
San Juan,san juan,san juan,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,2,40.3795833333333,-4.327361111111115,wb2:san juan,wb5:san juan,raw:San Juan,cg:Ruiz-VerduA_ES_UVEG-CEDEX,
Sanabria,sanabria,sanabria,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,2,42.120833333333294,-6.71625,wb2:sanabria,wb5:sanabria,raw:Sanabria,cg:Ruiz-VerduA_ES_UVEG-CEDEX,
Santa Teresa,santa teresa,santa teresa,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,2,40.6073611111111,-5.607916666666664,wb2:santa teresa,wb5:santa teresa,raw:Santa Teresa,cg:Ruiz-VerduA_ES_UVEG-CEDEX,
