group_a,group_b,names_a,names_b,min_km,shared_tokens
wb2:amsterdam-rhine canal,wb2:ijmeer durgerdam,amsterdam-rhine canal; amsterdam-rijn kanaal weesp,ijmeer durgerdam; markermeer de hemmelanden,8.22,
wb2:lake humuhumu,wb2:lake karaka,lake humuhumu; lake swan/rotootuaruru,lake karaka,8.3,
wb2:lake boruja maa,wb2:lake chotkowskie,lake boruja maa,lake chotkowskie,8.33,
wb2:lake hino,wb2:lake murati,lake hino,lake murati,8.42,
wb2:lake rotomanuka,wb2:mangakaware,lake rotomanuka; serpentine,mangakaware,8.42,
wb2:moeraki,wb2:paringa,moeraki,paringa,8.54,
wb2:lake hakanoa,wb2:rotognaro,lake hakanoa,rotognaro; rotognaroiti,8.56,
wb2:ankeveensche plassen,wb2:vinkeveenseplas jachthaven,ankeveensche plassen; spiegel- en blijkpolderplas,vinkeveenseplas jachthaven,8.66,
wb2:lake nouni,wb2:lake otepaa valgjarv,lake nouni,lake otepaa valgjarv,8.7,
wb2:lake okaro,wb2:lake rerewhakaaitu,lake okaro,lake rerewhakaaitu,8.88,
wb2:ankeveensche plassen,wb2:breukeleveensche- of stille plas,ankeveensche plassen; spiegel- en blijkpolderplas,breukeleveensche- of stille plas; loosdrechtse plassen; loosdrechtse plassen stille plas,8.92,
wb2:lake maratoto,wb2:mangakaware,lake maratoto,mangakaware,8.96,
"wb2:gulf of mexico, fl","wb2:st. joseph bay, fl","gulf of mexico, fl; tampa bay, fl","st. joseph bay, fl",9.33,
"wb2:carter lake, ne","wb2:lake manawa, ia","carter lake, ne","lake manawa, ia",9.49,
wb2:lake b,wb2:lake rotokauri,lake b; lake d (kainui),lake rotokauri,9.65,
"wb2:st. helena sound, sc","wb2:st. pierre creek, sc","st. helena sound, sc","st. pierre creek, sc",9.65,
wb2:lake lucerne,wb2:lake zug,lake lucerne,lake zug,9.66,
"wb2:pacific ocean, ca",wb2:pinto lake,"pacific ocean, ca",pinto lake,9.71,
wb2:lake waikare,wb2:rotognaro,lake waikare,rotognaro; rotognaroiti,9.81,
wb2:breukeleveensche- of stille plas,wb2:vinkeveenseplas jachthaven,breukeleveensche- of stille plas; loosdrechtse plassen; loosdrechtse plassen stille plas,vinkeveenseplas jachthaven,9.91,
"wb2:bangs lake, ms","wb2:gulf of mexico, fl","bangs lake, ms; bayou cumbest, ms; bayou heron, ms; crooked bayou, ms; gulf of mexico; middle bay, ms; mississippi sound, ms; n rigolets bayou, ms; point aux chenes bay, ms","gulf of mexico, fl; tampa bay, fl",9.97,
wb2:lake nouni,wb2:lake puhajarv,lake nouni,lake puhajarv,9.99,
wb2:lake areare,wb2:lake rotokauri,lake areare,lake rotokauri,10.13,
wb2:lake okataina,wb2:lake rotokakahi,lake okataina,lake rotokakahi; lake tikitapu,10.15,
wb2:lake elistvere,wb2:lake joemoisa,lake elistvere; lake kaiavere,lake joemoisa; lake kaiu,10.18,
"wb2:elizabeth river, va","wb2:james river, va","elizabeth river, va","james river, va",10.2,
wb2:lake whangape,wb2:ohinewai,lake whangape,ohinewai,10.23,
wb2:lake hayes,wb2:lake wakatipu,lake hayes,lake wakatipu,10.28,
wb2:lake maratoto,wb2:lake rotoroa (hamilton),lake maratoto,lake rotoroa (hamilton),10.28,
wb2:lake okaro,wb2:lake tarawera,lake okaro,lake tarawera,10.31,
wb2:lake holstre,wb2:lake viljandi,lake holstre,lake viljandi,10.35,
wb2:lake pangodi,wb2:lake verevi,lake pangodi,lake verevi,10.46,
wb2:lake kahuparere,wb2:lake karaka,lake kahuparere; lake kanono; lake rotokawau,lake karaka,10.48,
"wb2:black river, sc","wb2:waccamaw river, sc","black river, sc","waccamaw river, sc",10.55,
wb2:lake jelen,wb2:lake niezabyszewskie,lake jelen,lake niezabyszewskie,10.56,
wb2:lake hino,wb2:lake ruusmae,lake hino,lake ruusmae,10.6,
wb2:lake mendota,wb2:lake waubesa,lake mendota,lake waubesa,10.65,
wb2:big sand lake,wb2:lac vieux desert,big sand lake,lac vieux desert,10.67,
wb2:lake chippewa,wb2:round lake,lake chippewa,round lake,10.84,
wb2:lake czarne,wb2:lake jelen,lake czarne,lake jelen,10.84,
"wb2:atlantic ocean, va","wb2:knitting mill creek, va","atlantic ocean, va; chesapeake bay, md; patuxent river, md; rhode river, md","knitting mill creek, va; lafayette river, va",10.89,
wb2:breukeleveensche- of stille plas,wb2:nightevecht,breukeleveensche- of stille plas; loosdrechtse plassen; loosdrechtse plassen stille plas,nightevecht,10.89,
"wb2:derby pond, de","wb2:fork branch, de","derby pond, de","fork branch, de",10.91,
wb2:lake jasien ponocny,wb2:lake jelen,lake jasien ponocny; lake jasien poudniowy,lake jelen,10.96,
wb2:lake waahi,wb2:lake whangape,lake waahi,lake whangape,11.06,
wb2:lake rerewhakaaitu,wb2:lake tarawera,lake rerewhakaaitu,lake tarawera,11.12,
wb2:lake ohau,wb2:lake ruataniwha,lake ohau,lake ruataniwha,11.15,
wb2:lake okaro,wb2:lake rotokakahi,lake okaro,lake rotokakahi; lake tikitapu,11.26,
wb2:lake okareka,wb2:lake rotorua,lake okareka,lake rotorua,11.32,
wb2:lake mokeno,wb2:lake rototuna,lake mokeno,lake rototuna,11.34,
"wb2:altamaha river, ga","wb2:wassau sound, ga","altamaha river, ga; altamaha sound, ga; atlantic ocean, ga; doboy sound, ga; duplin river, ga; intracoastal waterway, ga; post office creek, ga; sapelo sound, ga; south end ceek, ga; teakettle creek, ga","wassau sound, ga",11.38,
wb2:lake otepaa valgjarv,wb2:lake puhajarv,lake otepaa valgjarv,lake puhajarv,11.46,
wb2:ijmeer durgerdam,wb2:naardermeer-spookgat,ijmeer durgerdam; markermeer de hemmelanden,naardermeer-spookgat,11.47,
wb2:lake joksi,wb2:lake otepaa valgjarv,lake joksi,lake otepaa valgjarv,11.47,
"wb2:mackay river, ga","wb2:st. simons sound, ga","mackay river, ga","st. simons sound, ga",11.54,
"wb2:carter lake, ne","wb2:cunningham lake, ne","carter lake, ne","cunningham lake, ne",11.57,
wb2:ijmeer durgerdam,wb2:nightevecht,ijmeer durgerdam; markermeer de hemmelanden,nightevecht,11.67,
wb2:lake czarne,wb2:lake jasien ponocny,lake czarne,lake jasien ponocny; lake jasien poudniowy,11.68,
wb2:elysian,wb2:sakatah,elysian,sakatah,11.72,
wb2:lake humuhumu,wb2:lake rototuna,lake humuhumu; lake swan/rotootuaruru,lake rototuna,11.74,
wb2:lake jelen,wb2:lake pyszne,lake jelen,lake pyszne,11.8,
wb2:lake chotkowskie,wb2:lake pyszne,lake chotkowskie,lake pyszne,11.83,
wb2:buendia,wb2:entrepenas,buendia,entrepenas,12.03,
wb2:lake hawea,wb2:lake wanaka,lake hawea,lake wanaka,12.11,
