key,value,rounding,source_file,filter
cond.TSS.lgbm_scp_pool.class_green.n_rows,14550.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the green-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_pool.class_red.cov,0.8044209514656415,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the red-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_pool.class_red.n_rows,2081.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the red-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_pool.n_body_splits,500.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_pool.median_body_cov,1.0,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_pool.share_below_090,0.328,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_pool.share_below_080,0.2,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_pool.share_below_050,0.096,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_pool.share_zero,0.012,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.class_blue.cov,0.7478991596638656,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the blue-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.class_blue.n_rows,595.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the blue-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.class_green.cov,0.9191752577319587,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the green-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.class_green.n_rows,14550.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the green-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.class_red.cov,0.8274867851994233,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the red-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.class_red.n_rows,2081.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, pooled test rows of the red-peaked display class; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.n_body_splits,500.0,integer,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.median_body_cov,1.0,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.share_below_090,0.29,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.share_below_080,0.172,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
cond.TSS.lgbm_scp_gsub.share_below_050,0.068,3 decimals,results/core_v2/pred_*.parquet,"hyp, waterbody, primary, alpha=0.1, seeds 0-19, water bodies with at least 5 test samples; one entry per split and water body; EXPLORATORY"
