target,sensor,population,n_cal_wb_target,method,alpha,label,n_seeds,draws_per_seed,mean_cov,beta_mean,sd_seed_draw0,sd_seed_means,beta_sd,beta_law_applicable,sd_draws_conditional_on_split,inf_rate_mean,mean_width_wb_log10
TSS,hyp,primary,40,cqr_pool,0.1,exploratory,20,20.0,0.8830580028957217,0.9008663779060007,0.06107418743125315,0.047337303320099514,0.013089457293542977,False,0.034038355394257466,0.0,1.3157795174245865
TSS,hyp,primary,40,scp_gsub,0.1,exploratory,20,20.0,0.8974959288058866,0.902439024390244,0.05213806763300092,0.0359578240354325,0.04578490904628808,True,0.03683856765882846,0.0,1.5013595393358528
TSS,hyp,primary,40,scp_pool,0.1,exploratory,20,20.0,0.8800513099188659,0.9008663779060007,0.0628063404238414,0.04773010703225017,0.013089457293542977,False,0.03586967503671566,0.0,1.4371982182589322
TSS,hyp,primary,all,cqr_gsub,0.1,exploratory,20,1.0,0.9100973267194101,0.9049657997783989,0.04643160876295565,0.04643160876295565,0.03661859088151111,True,,0.0,1.3784168375433576
TSS,hyp,primary,all,cqr_pool,0.1,exploratory,20,1.0,0.8890679387778926,0.9006255895410344,0.055632832817699755,0.055632832817699755,0.010290743927881664,False,,0.0,1.2943501802785076
TSS,hyp,primary,all,scp_gsub,0.1,exploratory,20,1.0,0.9050010624988285,0.9049657997783989,0.05112100950831264,0.05112100950831264,0.03661859088151111,True,,0.0,1.524007354608271
TSS,hyp,primary,all,scp_pool,0.1,exploratory,20,1.0,0.8831103598189346,0.9006255895410344,0.05770667532344876,0.05770667532344876,0.010290743927881664,False,,0.0,1.44411211335207
aCDOM440,hyp,primary,10,cqr_gsub,0.1,exploratory,20,20.0,0.9154288668167428,0.9090909090909094,0.07752175928147642,0.0413573039200439,0.08298826628866154,True,0.07327817256597703,0.0,1.7817345691655746
aCDOM440,hyp,primary,10,cqr_pool,0.1,exploratory,20,20.0,0.8824546377670434,0.904738873885484,0.07823660617631795,0.03986173202820643,0.027868689624159716,False,0.07656409054634335,0.0,1.4230830162669952
aCDOM440,hyp,primary,10,scp_gsub,0.1,exploratory,20,20.0,0.9194134148692544,0.9090909090909094,0.05119938118269195,0.03384902399564685,0.08298826628866154,True,0.07523403240986763,0.0,2.0294910092800875
aCDOM440,hyp,primary,10,scp_pool,0.1,exploratory,20,20.0,0.8754461465485637,0.904738873885484,0.07791122535235197,0.035805164637425675,0.027868689624159716,False,0.07787299014039453,0.0,1.5251853459044071
aCDOM440,hyp,primary,15,cqr_gsub,0.1,exploratory,20,20.0,0.9426364104768773,0.9375,0.0671467366767941,0.040235312069961046,0.05870852728923277,True,0.04946881867174903,0.0,2.0447972776604346
aCDOM440,hyp,primary,15,cqr_pool,0.1,exploratory,20,20.0,0.8903554957293712,0.9026984789439265,0.07860231112897019,0.0500756482392082,0.021670110548993492,False,0.05814235957129178,0.0,1.4060688073254815
aCDOM440,hyp,primary,15,scp_gsub,0.1,exploratory,20,20.0,0.9526880709881265,0.9375,0.05178464594743723,0.026966013438151575,0.05870852728923277,True,0.0441754537057539,0.0,2.3683968479116775
aCDOM440,hyp,primary,15,scp_pool,0.1,exploratory,20,20.0,0.8802665144570236,0.9026984789439265,0.07502559342753798,0.043997901768859864,0.021670110548993492,False,0.06393106904661035,0.0,1.516909200301057
aCDOM440,hyp,primary,20,cqr_gsub,0.1,exploratory,20,20.0,0.9042996261430243,0.9047619047619048,0.06171359426057556,0.052750241562909944,0.06258368958788293,True,0.05320448903480014,0.0,1.4918747025139698
aCDOM440,hyp,primary,20,cqr_pool,0.1,exploratory,20,20.0,0.8940532477711705,0.9018346524632703,0.07226518043180262,0.05029524787657724,0.01822455558882364,False,0.05670785952985706,0.0,1.4169163063504897
aCDOM440,hyp,primary,20,scp_gsub,0.1,exploratory,20,20.0,0.9080736723268436,0.9047619047619048,0.049031875960965886,0.043128517772831707,0.06258368958788293,True,0.056936115008116586,0.0,1.736962830973879
aCDOM440,hyp,primary,20,scp_pool,0.1,exploratory,20,20.0,0.8854369017277532,0.9018346524632703,0.07037337365466004,0.04706718347042286,0.01822455558882364,False,0.0559596901983576,0.0,1.5247236557871449
aCDOM440,hyp,primary,30,cqr_gsub,0.1,exploratory,20,20.0,0.897761965214198,0.9032258064516127,0.06347775086501693,0.056427880169628485,0.052264037890385986,True,0.04403460962737801,0.0,1.3793729907658172
aCDOM440,hyp,primary,30,cqr_pool,0.1,exploratory,20,20.0,0.9048275437945664,0.9010631686405208,0.07769741314203882,0.0535256571570489,0.01483609201111696,False,0.040342539216933135,0.0,1.4322288026972883
aCDOM440,hyp,primary,30,scp_gsub,0.1,exploratory,20,20.0,0.907292298916732,0.9032258064516127,0.05545407922119461,0.04514788431843058,0.052264037890385986,True,0.04379336222711962,0.0,1.6162383777994407
aCDOM440,hyp,primary,30,scp_pool,0.1,exploratory,20,20.0,0.8929857847395135,0.9010631686405208,0.07395579120511851,0.051419032743908584,0.01483609201111696,False,0.04210042954116359,0.0,1.541001043865142
aCDOM440,hyp,primary,40,cqr_gsub,0.1,exploratory,20,20.0,0.8993652375759769,0.902439024390244,0.0615590083281459,0.058836498534821736,0.04578490904628808,True,0.031984141961144893,0.0,1.3537601647639985
aCDOM440,hyp,primary,40,cqr_pool,0.1,exploratory,20,20.0,0.90965480926646,0.9008596827949014,0.061581139085792096,0.056738856984317174,0.012639476033290622,False,0.023789450745831466,0.0,1.4200751708752661
aCDOM440,hyp,primary,40,scp_gsub,0.1,exploratory,20,20.0,0.9035219972608154,0.902439024390244,0.06062535940445498,0.05032854693140099,0.04578490904628808,True,0.037486685202334495,0.0,1.5780506146881055
aCDOM440,hyp,primary,40,scp_pool,0.1,exploratory,20,20.0,0.8959238530536945,0.9008596827949014,0.062082330048316155,0.0543676000652791,0.012639476033290622,False,0.024519986535368722,0.0,1.5322699314380295
aCDOM440,hyp,primary,all,cqr_gsub,0.1,exploratory,20,1.0,0.8956347644949378,0.903343337334934,0.07139757996189697,0.07139757996189697,0.041284129114116955,True,,0.0,1.3230750606531256
aCDOM440,hyp,primary,all,cqr_pool,0.1,exploratory,20,1.0,0.9126949169960591,0.9009165224158406,0.060774048700635686,0.060774048700635686,0.011285636184654642,False,,0.0,1.414306291508789
aCDOM440,hyp,primary,all,scp_gsub,0.1,exploratory,20,1.0,0.9025894514925399,0.903343337334934,0.05663225248970246,0.05663225248970246,0.041284129114116955,True,,0.0,1.5477543904619582
aCDOM440,hyp,primary,all,scp_pool,0.1,exploratory,20,1.0,0.8955037873836827,0.9009165224158406,0.058542411550994176,0.058542411550994176,0.011285636184654642,False,,0.0,1.5329804995286527
