label,target,order,eval_set,k,score,variant,alpha,n_seeds,mean_cov,sd_cov,mean_n_wb,inf_rate
exploratory,Chla,random,common,1,cqr,augment,0.1,20,0.9102544153219914,0.0559515029507234,7.55,0.0
exploratory,Chla,random,common,1,cqr,global,0.1,20,0.9094253516461377,0.05614781714039007,7.55,0.0
exploratory,Chla,random,common,1,cqr,hybrid,0.1,20,0.9102544153219914,0.0559515029507234,7.55,0.0
exploratory,Chla,random,common,1,cqr,local,0.1,20,1.0,0.0,7.55,1.0
exploratory,Chla,random,common,1,scp,augment,0.1,20,0.9056866034452445,0.05398431218952626,7.55,0.0
exploratory,Chla,random,common,1,scp,global,0.1,20,0.9035226400195429,0.05498430850605039,7.55,0.0
exploratory,Chla,random,common,1,scp,hybrid,0.1,20,0.9056866034452445,0.05398431218952626,7.55,0.0
exploratory,Chla,random,common,1,scp,local,0.1,20,1.0,0.0,7.55,1.0
exploratory,Chla,random,common,2,cqr,augment,0.1,20,0.9110438142927233,0.05554952670198594,7.55,0.0
exploratory,Chla,random,common,2,cqr,global,0.1,20,0.9094253516461377,0.05614781714039007,7.55,0.0
exploratory,Chla,random,common,2,cqr,hybrid,0.1,20,0.9110438142927233,0.05554952670198594,7.55,0.0
exploratory,Chla,random,common,2,cqr,local,0.1,20,1.0,0.0,7.55,1.0
exploratory,Chla,random,common,2,scp,augment,0.1,20,0.9074541239339687,0.05353013542411882,7.55,0.0
exploratory,Chla,random,common,2,scp,global,0.1,20,0.9035226400195429,0.05498430850605039,7.55,0.0
exploratory,Chla,random,common,2,scp,hybrid,0.1,20,0.9074541239339687,0.05353013542411882,7.55,0.0
exploratory,Chla,random,common,2,scp,local,0.1,20,1.0,0.0,7.55,1.0
exploratory,Chla,random,common,5,cqr,augment,0.1,20,0.9212100627234172,0.054796314168508733,7.55,0.0
exploratory,Chla,random,common,5,cqr,global,0.1,20,0.9094253516461377,0.05614781714039007,7.55,0.0
exploratory,Chla,random,common,5,cqr,hybrid,0.1,20,0.9212100627234172,0.054796314168508733,7.55,0.0
exploratory,Chla,random,common,5,cqr,local,0.1,20,1.0,0.0,7.55,1.0
exploratory,Chla,random,common,5,scp,augment,0.1,20,0.9138951035755667,0.050024865391976564,7.55,0.0
exploratory,Chla,random,common,5,scp,global,0.1,20,0.9035226400195429,0.05498430850605039,7.55,0.0
exploratory,Chla,random,common,5,scp,hybrid,0.1,20,0.9138951035755667,0.050024865391976564,7.55,0.0
exploratory,Chla,random,common,5,scp,local,0.1,20,1.0,0.0,7.55,1.0
exploratory,Chla,random,common,10,cqr,augment,0.1,20,0.9092051869473519,0.04856511178490141,7.55,0.0
exploratory,Chla,random,common,10,cqr,global,0.1,20,0.9094253516461377,0.05614781714039007,7.55,0.0
exploratory,Chla,random,common,10,cqr,hybrid,0.1,20,0.895716424356212,0.04584368549932729,7.55,0.0
exploratory,Chla,random,common,10,cqr,local,0.1,20,0.895716424356212,0.04584368549932729,7.55,0.0
exploratory,Chla,random,common,10,scp,augment,0.1,20,0.9115752736901863,0.04881215687127508,7.55,0.0
exploratory,Chla,random,common,10,scp,global,0.1,20,0.9035226400195429,0.05498430850605039,7.55,0.0
exploratory,Chla,random,common,10,scp,hybrid,0.1,20,0.9087897309828744,0.04332528393608519,7.55,0.0
exploratory,Chla,random,common,10,scp,local,0.1,20,0.9087897309828744,0.04332528393608519,7.55,0.0
exploratory,Chla,random,common,20,cqr,augment,0.1,20,0.9146085618813663,0.045493965378995666,7.55,0.0
exploratory,Chla,random,common,20,cqr,global,0.1,20,0.9094253516461377,0.05614781714039007,7.55,0.0
exploratory,Chla,random,common,20,cqr,hybrid,0.1,20,0.9025978885803454,0.03731514819433288,7.55,0.0
exploratory,Chla,random,common,20,cqr,local,0.1,20,0.9025978885803454,0.03731514819433288,7.55,0.0
exploratory,Chla,random,common,20,scp,augment,0.1,20,0.9186844995630722,0.04372515864080221,7.55,0.0
exploratory,Chla,random,common,20,scp,global,0.1,20,0.9035226400195429,0.05498430850605039,7.55,0.0
exploratory,Chla,random,common,20,scp,hybrid,0.1,20,0.8977119451983369,0.03356772819926177,7.55,0.0
exploratory,Chla,random,common,20,scp,local,0.1,20,0.8977119451983369,0.03356772819926177,7.55,0.0
exploratory,Chla,random,per_k,0,cqr,augment,0.1,20,0.9187962588870084,0.0425700166454263,21.05,0.0
exploratory,Chla,random,per_k,0,cqr,global,0.1,20,0.9187962588870084,0.0425700166454263,21.05,0.0
exploratory,Chla,random,per_k,0,cqr,hybrid,0.1,20,0.9187962588870084,0.0425700166454263,21.05,0.0
exploratory,Chla,random,per_k,0,cqr,local,0.1,20,1.0,0.0,21.05,1.0
exploratory,Chla,random,per_k,0,scp,augment,0.1,20,0.9047625050622973,0.050323018032502276,21.05,0.0
exploratory,Chla,random,per_k,0,scp,global,0.1,20,0.9047625050622973,0.050323018032502276,21.05,0.0
exploratory,Chla,random,per_k,0,scp,hybrid,0.1,20,0.9047625050622973,0.050323018032502276,21.05,0.0
exploratory,Chla,random,per_k,0,scp,local,0.1,20,1.0,0.0,21.05,1.0
exploratory,Chla,random,per_k,1,cqr,augment,0.1,20,0.9189744676414324,0.04111903213268401,20.4,0.0
exploratory,Chla,random,per_k,1,cqr,global,0.1,20,0.9161055562845195,0.042989870970073014,20.4,0.0
exploratory,Chla,random,per_k,1,cqr,hybrid,0.1,20,0.9189744676414324,0.04111903213268401,20.4,0.0
exploratory,Chla,random,per_k,1,cqr,local,0.1,20,1.0,0.0,20.4,1.0
exploratory,Chla,random,per_k,1,scp,augment,0.1,20,0.9088411933645762,0.04408835083367336,20.4,0.0
exploratory,Chla,random,per_k,1,scp,global,0.1,20,0.9046131676174755,0.048373070361767155,20.4,0.0
exploratory,Chla,random,per_k,1,scp,hybrid,0.1,20,0.9088411933645762,0.04408835083367336,20.4,0.0
exploratory,Chla,random,per_k,1,scp,local,0.1,20,1.0,0.0,20.4,1.0
exploratory,Chla,random,per_k,2,cqr,augment,0.1,20,0.9183641123513802,0.03718798536222863,17.7,0.0
exploratory,Chla,random,per_k,2,cqr,global,0.1,20,0.9118236732111802,0.041256317718599486,17.7,0.0
exploratory,Chla,random,per_k,2,cqr,hybrid,0.1,20,0.9183641123513802,0.03718798536222863,17.7,0.0
exploratory,Chla,random,per_k,2,cqr,local,0.1,20,1.0,0.0,17.7,1.0
exploratory,Chla,random,per_k,2,scp,augment,0.1,20,0.9062700968526538,0.046213004240563155,17.7,0.0
exploratory,Chla,random,per_k,2,scp,global,0.1,20,0.8999983561756683,0.05236494401740595,17.7,0.0
exploratory,Chla,random,per_k,2,scp,hybrid,0.1,20,0.9062700968526538,0.046213004240563155,17.7,0.0
