key,value,rounding,source_file,filter
t2.TSS.region.train.wb_median,195.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == region; role == train; median over splits of nunique wb_group
t2.TSS.region.cal.rows_median,811.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == region; role == cal; median over splits of row count
t2.TSS.region.cal.wb_median,65.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == region; role == cal; median over splits of nunique wb_group
t2.TSS.region.test.rows_median,578.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == region; role == test; median over splits of row count
t2.TSS.region.test.wb_median,52.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == region; role == test; median over splits of nunique wb_group
t2.TSS.region_na.n_splits,20,integer,data/processed/splits_TSS.parquet,"protocol == region_na; distinct (seed, fold, test_unit)"
t2.TSS.region_na.n_seeds,5,integer,data/processed/splits_TSS.parquet,protocol == region_na; nunique seed
t2.TSS.region_na.n_descriptive,0,integer,data/processed/splits_TSS.parquet,protocol == region_na; descriptive_only splits
t2.TSS.region_na.train.rows_median,2966.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == region_na; role == train; median over splits of row count
t2.TSS.region_na.train.wb_median,213.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == region_na; role == train; median over splits of nunique wb_group
t2.TSS.region_na.cal.rows_median,1020.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == region_na; role == cal; median over splits of row count
t2.TSS.region_na.cal.wb_median,71.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == region_na; role == cal; median over splits of nunique wb_group
t2.TSS.region_na.test.rows_median,464.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == region_na; role == test; median over splits of row count
t2.TSS.region_na.test.wb_median,28.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == region_na; role == test; median over splits of nunique wb_group
t2.aCDOM440.random.n_splits,20,integer,data/processed/splits_aCDOM440.parquet,"protocol == random; distinct (seed, fold, test_unit)"
t2.aCDOM440.random.n_seeds,20,integer,data/processed/splits_aCDOM440.parquet,protocol == random; nunique seed
t2.aCDOM440.random.n_descriptive,0,integer,data/processed/splits_aCDOM440.parquet,protocol == random; descriptive_only splits
t2.aCDOM440.random.train.rows_median,2459.0,"integer (median, half up)",data/processed/splits_aCDOM440.parquet,protocol == random; role == train; median over splits of row count
t2.aCDOM440.random.train.wb_median,219.5,"integer (median, half up)",data/processed/splits_aCDOM440.parquet,protocol == random; role == train; median over splits of nunique wb_group
t2.aCDOM440.random.cal.rows_median,821.0,"integer (median, half up)",data/processed/splits_aCDOM440.parquet,protocol == random; role == cal; median over splits of row count
t2.aCDOM440.random.cal.wb_median,152.5,"integer (median, half up)",data/processed/splits_aCDOM440.parquet,protocol == random; role == cal; median over splits of nunique wb_group
t2.aCDOM440.random.test.rows_median,823.0,"integer (median, half up)",data/processed/splits_aCDOM440.parquet,protocol == random; role == test; median over splits of row count
